Id,Speaker,TextKey,Image,Continue,NextID,Responses,BranchID,,,,,,,,,,,,,,,,,
BREAK,BREAK,BREAK,BREAK,BREAK,BREAK,BREAK,BREAK,,,,,,,,,,,,,,,,,
0-1,Coobert,AHHHHHHH!,Peep_Happy,0-1,0-2,( . . . ),0-2,,,,,,,,,,,,,,,,,
0-2,Coobert,Oh-- It's you! You have to stop scaring the feathers off me!,Peep_Happy,0-2,0-3,( . . . ),0-3,,,,,,,,,,,,,,,,,
0-3,Coobert,Almost ruined my hiding spot as well!! Those humans over there knocked the plumage off me!,Peep_Happy,0-3,0-4,( . . . ),0-4,,,,,,,,,,,,,,,,,
0-4,Coobert,Did you know that legend says we once helped humans? Carried mail thousands of kilometers for them!,Peep_Happy,0-4,0-5,( . . . ),0-5,,,,,,,,,,,,,,,,,
0-5,Coobert,We were heroes! Sky messengers! Tiny feathery delivery legends!,Peep_Happy,0-5,0-6,( . . . ),0-6,,,,,,,,,,,,,,,,,
0-6,Coobert,Sounds crazy. I know. Now they mostly just chase and yell at us. Soo SCARY! Humans are unpredictable.,Peep_Happy,0-6,0-8,( . . . ),0-7,,,,,,,,,,,,,,,,,
0-7,Coobert,They tend to throw things..kick.. or chase you if they spot you. So when you wanna be invisible… you gotta sneak.,Peep_Happy,0-7,0-9,( . . . ),0-8,,,,,,,,,,,,,,,,,
0-8,Coobert,Hold down LEFT CTRL OR LEFT BUMPER and move slowly. Stay behind stuff. Boxes. Benches. Fences. Decorative shrubbery.,Peep_Happy,0-8,0-10,( . . . ),0-9,,,,,,,,,,,,,,,,,
0-9,Coobert,To sprit hold down the LEFT SHIFT OR L3.  It will take you out of the stealth mode so be speedy!!,Peep_Happy,0-9,0-11,( . . . ),0-10,,,,,,,,,,,,,,,,,
0-10,Coobert,Feeling confident?  I need some help. I’ve lost my ..hat… in the theater! And it’s crowded with people!,Peep_Happy,0-10,0-11,( . . . ),0-11,,,,,,,,,,,,,,,,,
0-11,Coobert,It’s actually my night light. A jar of fireflies. I can’t sleep without it.,Peep_Happy,0-11,0-12|0-13,Sure|I don't think so…,0-12|0-13,,,,,,,,,,,,,,,,,
0-12,Coobert,YOU WILL?! Oh thank goodness. Okay okay. Sneak past the humans.Use objects for cover. If they see you… you better move those little feet!,Peep_Happy,0-12,0-14,BREAK,BREAK,,,,,,,,,,,,,,,,,
0-13,Coobert,Oh. That’s okay. Totally fine. I’ll just…Never sleep again. We can practice sneaking more. That’s good. I like practice. Practice is safe.,Peep_Happy,0-13,0-14,( . . . ),0-14,,,,,,,,,,,,,,,,,
0-14,Coobert,"Just kidding, I NEED my nightlight. NOW!",Peep_Happy,0-14,0-15,BREAK,BREAK,,,,,,,,,,,,,,,,,
0-15,Coobert,YOU DID IT!!! You’re the bravest bird I know. Which is not a high bar but still!!,Peep_Happy,0-15,0-16,( . . . ),0-16,,,,,,,,,,,,,,,,,
0-16,Ruffle,OMG! HI!! You’re here!! Okay okay okay don’t freak out but I found the BEST stuff!!,Peep_Happy,0-16,0-17,( . . . ),0-17,,,,,,,,,,,,,,,,,
0-17,Ruffle,It was in a garbage can!! Which means it’s premium.,Peep_Happy,0-17,0-18,( . . . ),0-18,,,,,,,,,,,,,,,,,
0-18,Ruffle,"Okay so like — see shiny? Or crunchy? Or vaguely food-shaped? You can pick it up! Just press Q OR RT to snatch it up, or put something down",Peep_Happy,0-18,0-19,( . . . ),0-19,,,,,,,,,,,,,,,,,
0-19,Ruffle,YES!! Put it in your inventory! That’s your treasure pocket! Press R OR RIGHT DIRECTION PAD to check out what you got.,Peep_Happy,0-19,0-20,( . . . ),0-20,,,,,,,,,,,,,,,,,
0-20,Ruffle," Now here’s the IMPORTANT part. Use LEFT CLICK OR B BUTTON to poop on those pesky humans! And RIGHT CLICK OR LT to aim, so you waste less!",Peep_Happy,0-20,0-21,( . . . ),0-21,,,,,,,,,,,,,,,,,
